%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=206354, 2016/04/14 11:6:12.55)
1 14 4.038176e-01 0 0 1.085307e-01 3.416643e-01 1.157958e-02 3.416544e-01 1.085913e-01 3.418844e-01 1.156511e-02 3.422961e-01 4.025007e-01 2.699389e-01 1.196155e-02 1.245855e-02 1.025799e-01 4.028800e-01 2.692544e-01 1.194341e-02 1.246315e-02 1.028917e-01 4.024450e-01 2.694183e-01 1.192061e-02 1.243268e-02 1.025621e-01 4.037203e-01 2.688165e-01 1.196763e-02 1.244370e-02 1.028808e-01 
2 27 3.843389e-01 0 0 1.030701e-01 3.244996e-01 1.100591e-02 3.241524e-01 1.030350e-01 3.254333e-01 1.102263e-02 3.252603e-01 3.823487e-01 2.573675e-01 1.136697e-02 1.183803e-02 9.735069e-02 3.841452e-01 2.557359e-01 1.136203e-02 1.182841e-02 9.774902e-02 3.825464e-01 2.567110e-01 1.133427e-02 1.181835e-02 9.733427e-02 3.843850e-01 2.557469e-01 1.137519e-02 1.184376e-02 9.761856e-02 
3 40 3.692413e-01 0 0 9.880336e-02 3.110250e-01 1.057448e-02 3.104364e-01 9.888307e-02 3.116739e-01 1.059378e-02 3.117065e-01 3.665215e-01 2.466717e-01 1.090521e-02 1.136491e-02 9.329845e-02 3.685742e-01 2.450616e-01 1.093231e-02 1.141459e-02 9.389437e-02 3.679798e-01 2.465990e-01 1.086464e-02 1.133221e-02 9.331164e-02 3.689294e-01 2.470552e-01 1.089434e-02 1.134423e-02 9.352466e-02 
4 53 3.562019e-01 0 0 9.513572e-02 2.993490e-01 1.018518e-02 2.984598e-01 9.521432e-02 2.998859e-01 1.021095e-02 2.996963e-01 3.524621e-01 2.383609e-01 1.051359e-02 1.093365e-02 8.985596e-02 3.548515e-01 2.361027e-01 1.053795e-02 1.101638e-02 9.051752e-02 3.542852e-01 2.373701e-01 1.045306e-02 1.090859e-02 8.986166e-02 3.554576e-01 2.380125e-01 1.048169e-02 1.092142e-02 9.071978e-02 
5 66 3.378146e-01 0 0 8.994468e-02 2.829771e-01 9.642295e-03 2.822498e-01 9.038481e-02 2.836078e-01 9.691880e-03 2.841947e-01 3.337801e-01 2.266560e-01 9.959478e-03 1.038749e-02 8.521408e-02 3.365224e-01 2.235726e-01 9.982647e-03 1.046088e-02 8.575997e-02 3.356037e-01 2.255030e-01 9.903650e-03 1.031855e-02 8.509407e-02 3.361364e-01 2.257021e-01 9.925805e-03 1.034744e-02 8.583993e-02 
6 79 3.218460e-01 0 0 8.548767e-02 2.689214e-01 9.184619e-03 2.681465e-01 8.606075e-02 2.710268e-01 9.219961e-03 2.703155e-01 3.176670e-01 2.155659e-01 9.476311e-03 9.867691e-03 8.096443e-02 3.207804e-01 2.125517e-01 9.499440e-03 9.949182e-03 8.156101e-02 3.191147e-01 2.145405e-01 9.439066e-03 9.806575e-03 8.092584e-02 3.203126e-01 2.145657e-01 9.465176e-03 9.872989e-03 8.181887e-02 
7 92 3.096399e-01 0 0 8.210336e-02 2.578926e-01 8.825414e-03 2.572929e-01 8.267394e-02 2.604591e-01 8.881934e-03 2.607059e-01 3.054140e-01 2.071796e-01 9.099269e-03 9.530991e-03 7.765917e-02 3.081653e-01 2.045292e-01 9.174979e-03 9.568682e-03 7.828496e-02 3.071297e-01 2.058893e-01 9.063949e-03 9.428873e-03 7.776771e-02 3.078040e-01 2.063222e-01 9.089136e-03 9.474082e-03 7.850187e-02 
8 105 2.906410e-01 0 0 7.707481e-02 2.414436e-01 8.271889e-03 2.407648e-01 7.757879e-02 2.441078e-01 8.311475e-03 2.442230e-01 2.860172e-01 1.939520e-01 8.524333e-03 8.930242e-03 7.270650e-02 2.892099e-01 1.915748e-01 8.601440e-03 8.962427e-03 7.344665e-02 2.878153e-01 1.930925e-01 8.483385e-03 8.833740e-03 7.280078e-02 2.883890e-01 1.933696e-01 8.589019e-03 8.878580e-03 7.344266e-02 
9 118 2.825917e-01 0 0 7.498051e-02 2.342971e-01 8.039081e-03 2.334351e-01 7.545261e-02 2.366914e-01 8.063402e-03 2.381032e-01 2.782702e-01 1.879879e-01 8.264029e-03 8.697501e-03 7.076433e-02 2.807763e-01 1.860231e-01 8.373832e-03 8.697090e-03 7.139729e-02 2.791559e-01 1.876730e-01 8.236828e-03 8.600816e-03 7.081039e-02 2.796354e-01 1.881683e-01 8.345363e-03 8.615467e-03 7.145122e-02 
10 131 2.749128e-01 0 0 7.286180e-02 2.271806e-01 7.800386e-03 2.263642e-01 7.325899e-02 2.303808e-01 7.820382e-03 2.316639e-01 2.698920e-01 1.829922e-01 8.018368e-03 8.450702e-03 6.924831e-02 2.728739e-01 1.808275e-01 8.140826e-03 8.437480e-03 6.927468e-02 2.707963e-01 1.823276e-01 8.014701e-03 8.380767e-03 6.876670e-02 2.711627e-01 1.832081e-01 8.190262e-03 8.373218e-03 6.942928e-02 
11 144 2.654456e-01 0 0 7.030824e-02 2.188275e-01 7.519987e-03 2.181436e-01 7.081258e-02 2.226839e-01 7.545680e-03 2.233762e-01 2.614351e-01 1.771548e-01 7.721878e-03 8.145744e-03 6.707581e-02 2.630353e-01 1.741707e-01 7.853971e-03 8.128340e-03 6.699840e-02 2.617285e-01 1.761266e-01 7.719053e-03 8.112878e-03 6.635224e-02 2.610956e-01 1.764072e-01 7.906691e-03 8.062892e-03 6.694821e-02 
12 157 2.576490e-01 0 0 6.811824e-02 2.119963e-01 7.278133e-03 2.111151e-01 6.886683e-02 2.156657e-01 7.306761e-03 2.164869e-01 2.534815e-01 1.714819e-01 7.493126e-03 7.890088e-03 6.502466e-02 2.546589e-01 1.691716e-01 7.612683e-03 7.869956e-03 6.496694e-02 2.550658e-01 1.709252e-01 7.488736e-03 7.879378e-03 6.440393e-02 2.530577e-01 1.715013e-01 7.672980e-03 7.869772e-03 6.491371e-02 
13 170 2.524400e-01 0 0 6.659993e-02 2.070374e-01 7.113930e-03 2.061575e-01 6.734966e-02 2.109263e-01 7.139462e-03 2.130131e-01 2.476573e-01 1.677698e-01 7.335478e-03 7.727233e-03 6.365239e-02 2.503215e-01 1.656176e-01 7.441678e-03 7.694032e-03 6.353341e-02 2.494840e-01 1.675459e-01 7.331444e-03 7.715533e-03 6.310729e-02 2.476306e-01 1.676773e-01 7.511101e-03 7.721986e-03 6.354826e-02 
14 183 2.439449e-01 0 0 6.441704e-02 1.994717e-01 6.853603e-03 1.986333e-01 6.508142e-02 2.038976e-01 6.896411e-03 2.057346e-01 2.385826e-01 1.617588e-01 7.088147e-03 7.462460e-03 6.144190e-02 2.416987e-01 1.598612e-01 7.192768e-03 7.413617e-03 6.128163e-02 2.405594e-01 1.619240e-01 7.079245e-03 7.439022e-03 6.096912e-02 2.388192e-01 1.616252e-01 7.249472e-03 7.450499e-03 6.132363e-02 
15 196 2.335805e-01 0 0 6.165939e-02 1.904371e-01 6.554048e-03 1.896935e-01 6.243086e-02 1.952592e-01 6.595784e-03 1.966033e-01 2.279473e-01 1.550000e-01 6.770714e-03 7.156010e-03 5.871615e-02 2.316613e-01 1.527704e-01 6.869765e-03 7.083485e-03 5.852445e-02 2.304843e-01 1.548035e-01 6.771278e-03 7.104583e-03 5.831927e-02 2.282389e-01 1.545508e-01 6.928633e-03 7.135477e-03 5.888306e-02 
16 209 2.268505e-01 0 0 5.972477e-02 1.843551e-01 6.359692e-03 1.836265e-01 6.051838e-02 1.898097e-01 6.398085e-03 1.907302e-01 2.210631e-01 1.503055e-01 6.557822e-03 6.994362e-03 5.697799e-02 2.260452e-01 1.483981e-01 6.684647e-03 6.885018e-03 5.677235e-02 2.233258e-01 1.500279e-01 6.574672e-03 6.880162e-03 5.657750e-02 2.213267e-01 1.503804e-01 6.738673e-03 6.911815e-03 5.704558e-02 
