%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=206354, 2016/04/14 11:6:12.55)
1 14  6.473337800187891700e+07 0 0 3.331557e-01 8.510039e-02 -2.521774e-01 1.012591e-01 4.319984e-01 -2.685616e-01 -2.904728e-01 -2.726768e-02 3.238652e-01 -4.711235e-01 1.101772e-03 -2.392062e-02 2.214976e-01 6.317615e-01 3.315557e-01 -9.547462e-03 -2.256742e-02 2.647716e-01 5.105293e-01 -1.354789e-01 2.395505e-02 -3.033345e-02 2.715334e-01 1.051684e-01 -5.207975e-02 1.524978e-02 2.406114e-02 4.364172e-01 
2 27  6.471439333656172500e+07 0 0 2.819588e-01 3.754848e-01 -2.490974e-01 -9.562099e-02 4.568737e-01 -7.679388e-01 -3.070019e-01 -6.642891e-01 5.906705e-01 -4.918415e-01 -1.377247e-02 -2.966120e-02 2.447750e-01 1.067625e+00 -7.799853e-02 8.232353e-03 -4.400263e-02 4.471751e-01 1.164088e+00 -4.041854e-01 9.692685e-03 -2.963036e-02 1.895636e-01 -2.981889e-01 -6.667353e-01 -1.030312e-02 5.596786e-02 1.714558e-01 
3 40  6.467127419167196800e+07 0 0 2.119899e-01 1.414431e-01 -2.457252e-01 -2.248846e-02 4.086937e-01 -3.654477e-01 -2.816303e-01 -3.940616e-01 2.924489e-01 -4.632230e-01 -1.450264e-02 -2.971008e-02 1.447439e-01 1.187568e+00 2.249820e-02 2.059210e-02 -6.164743e-03 2.730521e-01 3.868090e-02 1.653563e-01 2.669248e-02 -2.519256e-02 3.041492e-01 1.904255e-01 -6.991953e-01 1.297478e-02 2.748293e-02 2.598906e-01 
4 53  6.460601924756068700e+07 0 0 2.692739e-01 4.154892e-03 -2.435258e-01 8.729044e-02 4.856351e-01 -3.705692e-01 -2.814362e-01 -3.379476e-01 4.284895e-01 -5.034522e-01 -2.390093e-02 -2.598303e-02 8.665476e-02 7.716047e-01 7.934533e-02 1.135117e-02 5.687852e-04 3.888102e-01 1.272298e-01 3.999368e-02 2.869495e-02 -2.064217e-02 3.323080e-01 -1.614141e-01 -4.490139e-01 2.196426e-03 3.046679e-02 4.275519e-01 
5 66  6.457694503736478800e+07 0 0 3.284527e-01 4.369255e-02 -2.518969e-01 3.240577e-02 5.111560e-01 -5.879341e-01 -3.038327e-01 -4.807041e-01 6.863614e-01 -1.850555e-02 -1.770112e-02 -2.539867e-02 1.017560e-03 1.351590e+00 2.170626e-01 1.109257e-02 -3.384645e-02 2.283668e-01 1.824100e-01 4.496332e-01 1.004899e-02 -2.639571e-02 1.535851e-01 1.465159e-01 -5.012753e-01 1.937328e-02 2.994410e-02 3.972680e-01 
6 79  6.453375191216100800e+07 0 0 2.988204e-01 9.599748e-02 -2.499735e-01 8.079069e-02 5.053547e-01 -8.693381e-01 -3.011725e-01 -2.042416e-01 7.354160e-01 -2.410987e-01 -2.952728e-02 -2.254944e-02 1.192282e-01 1.141175e+00 9.056009e-02 1.083841e-02 -2.478781e-02 2.060496e-01 -1.313079e-01 1.093877e-01 6.789282e-03 -2.283575e-02 2.121030e-01 4.342982e-01 -3.250135e-01 2.610436e-02 1.241562e-02 2.345425e-01 
7 92  6.454884971778665500e+07 0 0 3.966247e-01 -1.061923e-02 -2.576669e-01 2.447901e-01 4.612509e-01 -4.603265e-01 -2.983753e-01 -7.110625e-01 9.932899e-01 -4.809657e-01 -1.713922e-02 5.465389e-04 1.019251e-01 1.054362e+00 3.130721e-01 2.694905e-02 -3.000996e-02 2.350551e-01 6.613605e-01 1.401211e-01 2.306011e-02 -3.486317e-02 2.620680e-01 -3.215361e-01 -2.851416e-01 1.405261e-02 2.200823e-02 2.636422e-01 
8 105  6.449903964091181000e+07 0 0 3.322127e-01 1.329339e-01 -2.507273e-01 1.178236e-01 5.631102e-01 -6.276695e-01 -3.054127e-01 -5.830878e-01 1.179628e+00 -1.843697e-01 -1.353227e-02 -7.240467e-03 1.952940e-01 1.484404e+00 3.796062e-01 3.531425e-03 -1.753846e-02 1.776429e-01 7.247029e-01 5.220108e-01 1.027739e-02 -5.485564e-03 2.331634e-01 3.306670e-01 -5.888990e-02 4.257706e-03 1.769160e-02 2.988155e-01 
9 118  6.455861945243413000e+07 0 0 3.947538e-01 2.710274e-02 -2.402027e-01 1.965021e-01 4.015264e-01 -5.260668e-01 -2.997238e-01 -6.457634e-01 1.091227e+00 -1.100632e-01 -1.632180e-02 4.114680e-03 5.817813e-02 7.946901e-01 7.599509e-02 2.812109e-02 -3.011683e-02 2.343364e-01 3.987941e-01 5.782986e-01 2.666662e-02 -1.812926e-02 3.083600e-01 -1.361610e-01 -6.262672e-01 4.282671e-03 2.108468e-02 1.404737e-01 
10 131  6.447138515898834900e+07 0 0 3.835223e-01 1.274700e-01 -2.555737e-01 8.689036e-02 4.174987e-01 -7.461808e-01 -2.984889e-01 -6.575973e-01 5.240254e-01 -4.269015e-01 -7.402305e-03 -1.439393e-02 1.375952e-01 1.137564e+00 2.239876e-01 1.077599e-02 -2.388442e-02 1.821099e-01 3.378200e-01 3.268285e-01 4.051749e-02 -1.213623e-02 2.422260e-01 -1.473102e-01 -7.452851e-02 1.068476e-02 4.233576e-02 2.673532e-01 
